id,Date,text,Polarity,SentimentScore,Sentiment
id,created_at,text,0.0,3,Neutral
935969138257866752,2017-11-29 20:30:06,"b'A new study quantifies the total profit generated by different forms of advertising, and #TV ads are still on top.\xe2\x80\xa6 https://t.co/bHrZMcBtJ6'",0.04545454545454545,3,Neutral
935935819470254082,2017-11-29 18:17:42,b'RT @Anisha_Mateo: Join us as we celebrate Senior Vice President and General Manager of the Consumer and Metadata teams at TiVo Roz Ho. @tiv\xe2\x80\xa6',0.05000000000000002,3,Neutral
935902755469889536,2017-11-29 16:06:19,"b""Heading to TV of Tomorrow in NYC next month? Don't miss Walt Horstman. #tvotnyc @tvotnyc @tswedlow https://t.co/ZPOELlNBBk""",0.0,3,Neutral
935610517057568768,2017-11-28 20:45:04,"b'Will broadcasters struggle to compete with #streaming services for ""super-premium"" productions? https://t.co/zSaTa5JVvh'",0.0,3,Neutral
935560868015820803,2017-11-28 17:27:47,b'RT @ParksAssociates: How can operators get in front of #UX trends + innovtions in order to compete in the era of #IPTV? Join our analysts +\xe2\x80\xa6',0.0,3,Neutral
935557893784592386,2017-11-28 17:15:58,"b""TiVo's Roz Ho has been selected as one of @Cablefax's most #powerfulwomen in cable. Go Roz! https://t.co/NZvzyF3lnD\xe2\x80\xa6 https://t.co/otmQ2bJw0i""",0.625,5,Very Positive
935550122905292800,2017-11-28 16:45:05,b'Is the future of #OTT ad-supported channels and content? https://t.co/oAUGorKVaS via @Forbes https://t.co/3dttihMUB7',0.0,3,Neutral
935255735281340417,2017-11-27 21:15:18,"b""We're TiVo. And we're always innovating. https://t.co/mK293qWcXS""",0.0,3,Neutral
935187743507910657,2017-11-27 16:45:07,"b""How far have #4K #TV's penetrated US households? Hint: it's still under 10%: https://t.co/8RYaG2bmX1""",0.1,3,Neutral
935158077459922944,2017-11-27 14:47:14,b'RT @ParksAssociates: Reserve your seat today! Our analysts + @tivoforbusiness will examine the top 5 #IPTV challenges on December 5: https:\xe2\x80\xa6',0.5,5,Very Positive
934176069539782656,2017-11-24 21:45:05,b'Catch Walt Horstman at TV of Tomorrow NYC on December 7. #tvotnyc @tvotnyc @tswedlow https://t.co/kKYqFMzz1C',0.0,3,Neutral
933774677939511299,2017-11-23 19:10:06,b'Next week: See Walt Horstman at the New York Videonomics Roundtable. https://t.co/BMM571AdjD https://t.co/UJ1PgdZZPS',0.06818181818181818,3,Neutral
933448769978470400,2017-11-22 21:35:04,"b""How will the #SVOD ecosystem change when this media giant's latest moves go into effect? https://t.co/jabDrFAaLj""",0.25,4,Positive
933403499899113477,2017-11-22 18:35:10,"b'#OTT revenue in Europe is expected to double by 2021, even though services are expected to consolidate.\xe2\x80\xa6 https://t.co/GW5cS9TPfc'",-0.06666666666666667,2,Negative
933034800453177344,2017-11-21 18:10:06,b'A new report shows that #OTT viewers talk about the brands they see on screen when co-viewing:\xe2\x80\xa6 https://t.co/pxybcGtSdn',0.13636363636363635,3,Neutral
932718972482543618,2017-11-20 21:15:06,b'Walt Horstman will be on hand at the New York Videonomics Roundtable next week. https://t.co/01Uieo4ukl https://t.co/hRZgYYgLE8',0.06818181818181818,3,Neutral
932644013693456386,2017-11-20 16:17:15,"b'Meet our new president and CEO, Enrique Rodriguez. https://t.co/LAUjuJHxaJ https://t.co/Qs4DtzLbxV'",0.13636363636363635,3,Neutral
931639357144031233,2017-11-17 21:45:06,"b'Just as #4K begins to take its roots, analysts are already predicting huge growth for the next big thing in #TV\xe2\x80\xa6 https://t.co/skyGL24A5M'",0.13333333333333336,3,Neutral
931610946530893824,2017-11-17 19:52:12,b'We had a great time at the Beet Retreat Miami. Here\xe2\x80\x99s Walt Horstman discussing the future of consumer needs in the\xe2\x80\xa6 https://t.co/GM1XmlQrPx',0.4,4,Positive
931542466599243776,2017-11-17 15:20:05,"b'With so much content available these days, viewers are having a hard time deciding what to watch:\xe2\x80\xa6 https://t.co/u7OgdM5gHq'",0.1027777777777778,3,Neutral
931533150022488066,2017-11-17 14:43:04,b'RT @TVBEurope: .@cndawesontv from @tivoforbusiness discusses the increasing adoption and engagement of voice search https://t.co/qduAg1D8FK',0.0,3,Neutral
931276963775418374,2017-11-16 21:45:05,b'Did you get a copy of the latest #TiVoVideoTrends report? https://t.co/njkPDwQQTr https://t.co/Abn9tFAjI8',0.5,5,Very Positive
931237957582966784,2017-11-16 19:10:05,b'This major theater brand is betting on #PVOD: https://t.co/tg4a9SN37T',0.0625,3,Neutral
930912116625813504,2017-11-15 21:35:18,"b""Basketball and hockey are back in full swing. Have you considered TiVo's Sports Metadata packages? https://t.co/gbhHcV1jiA""",0.175,3,Neutral
930866763667034122,2017-11-15 18:35:05,"b""We're excited to have Walt Horstman at the New York Videonomics Roundtable: https://t.co/NYPPVkD7ko https://t.co/vE6meKwXd5""",0.2556818181818182,4,Positive
930498083263262721,2017-11-14 18:10:05,"b""We're just getting started. https://t.co/SorpezVut7 @mandedaily https://t.co/lPDhg5a5Zl""",0.0,3,Neutral
930182247067635712,2017-11-13 21:15:04,b'#SVOD is poised to launch digital consumer spending over $200 billion by next year: https://t.co/tq1icdQSRQ',0.0,3,Neutral
930093005515755521,2017-11-13 15:20:27,"b'Elegant, smart, simple and powerful. TiVo services. https://t.co/lzqXA6hyq5'",0.25357142857142856,4,Positive
929102636527374337,2017-11-10 21:45:05,"b""Piracy is set to cost #SVOD companies over $50 billion, but there's a silver lining for #streaming services:\xe2\x80\xa6 https://t.co/1N1OoSDffc""",0.0,3,Neutral
929005743239581696,2017-11-10 15:20:03,b'TiVo finds its voice with new VOX products: https://t.co/kZasFZeF5p via @MultiNews #TalkToTheVOX',0.13636363636363635,3,Neutral
928770442667724802,2017-11-09 23:45:03,b'YouTube viewing on #TV is up 70% from last year. What does that mean for the TV industry? https://t.co/OUmJqvJR3i',-0.15625,2,Negative
928740332371550208,2017-11-09 21:45:25,b'Stay ahead with TiVo. https://t.co/LlOASngM5s',0.0,3,Neutral
